Time,Temperature,Pressure,Sea.pressure,Depth
2018-09-08 12:35:56.500,18.63967098,10.04074424,-0.091756757,-0.091192957
2018-09-08 12:35:57.000,18.63698878,10.04024986,-0.092251138,-0.0916843
2018-09-08 12:35:57.500,18.63445888,10.03925952,-0.093241485,-0.092668562
2018-09-08 12:35:58.000,18.63206552,10.04033466,-0.092166338,-0.091600022
2018-09-08 12:35:58.500,18.62950429,10.04099585,-0.091505146,-0.090942892
2018-09-08 12:35:59.000,18.62666499,10.04149258,-0.09100842,-0.090449218
2018-09-08 12:35:59.500,18.62375756,10.04256749,-0.08993351,-0.089380914
2018-09-08 12:36:00.000,18.62122809,10.04165903,-0.090841973,-0.090283794
2018-09-08 12:36:00.500,18.61876167,10.0414118,-0.091089195,-0.090529497
2018-09-08 12:36:01.000,18.61610117,10.0420748,-0.090426196,-0.089870572
2018-09-08 12:36:01.500,18.61397074,10.0433141,-0.0891869,-0.088638891
2018-09-08 12:36:02.000,18.61160424,10.04257007,-0.089930928,-0.089378347
2018-09-08 12:36:02.500,18.60915386,10.04430735,-0.088193653,-0.087651747
2018-09-08 12:36:03.000,18.60674029,10.04216008,-0.090340921,-0.089785821
2018-09-08 12:36:03.500,18.60424285,10.04174803,-0.090752974,-0.090195342
2018-09-08 12:36:04.000,18.60169302,10.04315361,-0.089347389,-0.088798393
2018-09-08 12:36:04.500,18.59910654,10.04216342,-0.090337578,-0.089782498
2018-09-08 12:36:05.000,18.59649917,10.04332019,-0.089180815,-0.088632843
2018-09-08 12:36:05.500,18.59385517,10.04175173,-0.090749266,-0.090191657
2018-09-08 12:36:06.000,18.59141059,10.04175256,-0.090748442,-0.090190838
2018-09-08 12:36:06.500,18.58892412,10.04340491,-0.089096094,-0.088548643
2018-09-08 12:36:07.000,18.58641151,10.04043169,-0.092069307,-0.091503587
2018-09-08 12:36:07.500,18.58387799,10.04307692,-0.089424076,-0.088874609
2018-09-08 12:36:08.000,18.58150716,10.04183836,-0.090662644,-0.090105567
2018-09-08 12:36:08.500,18.57888988,10.04059976,-0.091901244,-0.091336556
2018-09-08 12:36:09.000,18.57650346,10.04332598,-0.089175015,-0.088627079
2018-09-08 12:36:09.500,18.57395977,10.04250123,-0.089999771,-0.089446767
2018-09-08 12:36:10.000,18.57132177,10.04225458,-0.090246423,-0.089691904
2018-09-08 12:36:10.500,18.56875728,10.04366,-0.088840996,-0.088295112
2018-09-08 12:36:11.000,18.56638165,10.04291712,-0.089583883,-0.089033435
2018-09-08 12:36:11.500,18.5636128,10.04300049,-0.089500509,-0.088950573
2018-09-08 12:36:12.000,18.56130026,10.0424222,-0.090078803,-0.089525314
2018-09-08 12:36:12.500,18.55872036,10.04399375,-0.088507245,-0.087963412
2018-09-08 12:36:13.000,18.5563398,10.04217648,-0.09032452,-0.089769521
2018-09-08 12:36:13.500,18.55388065,10.04135082,-0.09115018,-0.090590107
2018-09-08 12:36:14.000,18.5513377,10.0415998,-0.090901198,-0.090342656
2018-09-08 12:36:14.500,18.54873191,10.04325194,-0.089249055,-0.088700664
2018-09-08 12:36:15.000,18.54615766,10.04003124,-0.092469761,-0.091901581
2018-09-08 12:36:15.500,18.54362544,10.04284045,-0.089660554,-0.089109634
2018-09-08 12:36:16.000,18.54109855,10.0409417,-0.091559301,-0.090996715
2018-09-08 12:36:16.500,18.53845116,10.04342067,-0.089080326,-0.088532971
2018-09-08 12:36:17.000,18.53588249,10.0416869,-0.0908141,-0.090256092
2018-09-08 12:36:17.500,18.53324576,10.04110872,-0.091392284,-0.090830723
2018-09-08 12:36:18.000,18.53077161,10.04028274,-0.09221826,-0.091651625
2018-09-08 12:36:18.500,18.52819271,10.0408621,-0.091638904,-0.091075828
2018-09-08 12:36:19.000,18.52578162,10.04235038,-0.090150624,-0.089596694
2018-09-08 12:36:19.500,18.52343349,10.04326031,-0.089240687,-0.088692347
2018-09-08 12:36:20.000,18.5211693,10.04152573,-0.09097527,-0.090416272
2018-09-08 12:36:20.500,18.51858547,10.04293097,-0.089570032,-0.089019668
2018-09-08 12:36:21.000,18.51656773,10.04218864,-0.090312365,-0.08975744
2018-09-08 12:36:21.500,18.51414651,10.04276745,-0.089733547,-0.089182179
2018-09-08 12:36:22.000,18.51168869,10.0437595,-0.088741503,-0.08819623
2018-09-08 12:36:22.500,18.5093043,10.04243819,-0.090062812,-0.089509421
2018-09-08 12:36:23.000,18.5069619,10.04153023,-0.090970769,-0.090411799
2018-09-08 12:36:23.500,18.5043471,10.0430172,-0.089483804,-0.088933971
2018-09-08 12:36:24.000,18.50176382,10.04409231,-0.088408687,-0.087865459
